timestamp,value,status
2026-02-03 20:28:24.075,0.56,Excellent
2026-02-03 20:28:29.092,0.56,Excellent
2026-02-03 20:28:34.059,0.56,Excellent
2026-02-03 20:28:39.079,0.56,Excellent
2026-02-03 20:28:44.064,0.56,Excellent
2026-02-03 20:29:00.377,0.54,Excellent
2026-02-03 20:30:00.067,0.53,Excellent
2026-02-03 20:30:07.873,0.52,Excellent
2026-02-03 20:30:08.798,0.52,Excellent
2026-02-03 20:30:13.777,0.52,Excellent
2026-02-03 20:30:19.072,0.52,Excellent
2026-02-03 20:30:24.061,0.5,Excellent
2026-02-03 20:30:29.081,0.5,Excellent
2026-02-03 20:30:34.063,0.5,Excellent
2026-02-03 20:30:39.080,0.51,Excellent
2026-02-03 20:30:40.126,0.51,Excellent
2026-02-03 20:30:44.091,0.51,Excellent
2026-02-03 20:30:50.051,0.51,Excellent
2026-02-03 20:30:55.066,0.52,Excellent
2026-02-03 20:31:00.061,0.52,Excellent
2026-02-03 20:31:04.096,0.52,Excellent
2026-02-03 20:31:06.212,0.52,Excellent
2026-02-03 20:31:11.228,0.54,Excellent
2026-02-03 20:31:16.216,0.54,Excellent
2026-02-03 20:31:21.237,0.54,Excellent
2026-02-03 20:31:26.242,0.53,Excellent
2026-02-03 20:31:31.228,0.53,Excellent
2026-02-03 20:31:38.209,0.5,Excellent
2026-02-03 20:31:43.229,0.5,Excellent
2026-02-03 20:31:48.187,0.5,Excellent
2026-02-03 20:31:48.533,0.5,Excellent
2026-02-03 20:31:50.021,0.5,Excellent
2026-02-03 20:31:51.971,0.58,Excellent
2026-02-03 20:31:53.602,0.58,Excellent
2026-02-03 20:31:55.684,0.58,Excellent
2026-02-03 20:32:00.695,0.58,Excellent
2026-02-03 20:32:03.182,0.58,Excellent
2026-02-03 20:32:06.306,0.58,Excellent
2026-02-03 20:32:11.293,0.99,Excellent
2026-02-03 20:32:16.286,0.99,Excellent
2026-02-03 20:32:21.300,0.99,Excellent
2026-02-03 20:32:26.281,0.98,Excellent
2026-02-03 20:32:31.324,0.98,Excellent
2026-02-03 20:32:32.793,0.98,Excellent
2026-02-03 20:32:37.754,1.47,Excellent
2026-02-03 20:32:43.384,1.47,Excellent
2026-02-03 20:32:48.064,1.47,Excellent
2026-02-03 20:32:51.101,1.47,Excellent
2026-02-03 20:32:55.191,1.48,Excellent
2026-02-03 20:33:00.154,1.48,Excellent
2026-02-03 20:33:03.004,1.48,Excellent
2026-02-03 20:33:05.259,1.48,Excellent
2026-02-03 20:33:06.672,1.9,Excellent
2026-02-03 20:33:08.373,1.9,Excellent
2026-02-03 20:33:09.986,1.9,Excellent
2026-02-03 20:33:11.947,1.9,Excellent
2026-02-03 20:33:16.946,1.9,Excellent
2026-02-03 20:33:23.554,1.9,Excellent
2026-02-03 20:33:28.565,1.9,Excellent
2026-02-03 20:33:33.581,1.9,Excellent
2026-02-03 20:33:38.570,1.89,Excellent
2026-02-03 20:33:43.544,1.89,Excellent
2026-02-03 20:33:48.539,1.89,Excellent
2026-02-03 20:33:53.541,1.91,Excellent
2026-02-03 20:33:58.550,1.91,Excellent
2026-02-03 20:33:59.301,1.91,Excellent
2026-02-03 20:34:04.306,1.91,Excellent
2026-02-03 20:34:10.378,1.91,Excellent
2026-02-03 20:34:15.094,1.91,Excellent
2026-02-03 20:34:20.055,1.91,Excellent
2026-02-03 20:34:25.087,1.89,Excellent
2026-02-03 20:34:30.067,1.89,Excellent
2026-02-03 20:34:35.061,1.89,Excellent
2026-02-03 20:34:40.096,1.9,Excellent
2026-02-03 20:34:45.074,1.9,Excellent
2026-02-03 20:34:50.071,1.9,Excellent
2026-02-03 20:34:55.086,1.9,Excellent
2026-02-03 20:35:00.060,1.9,Excellent
2026-02-03 20:35:05.058,1.9,Excellent
2026-02-03 20:36:00.362,1.86,Excellent
2026-02-03 20:37:00.085,1.79,Excellent
2026-02-03 20:38:00.362,0.88,Excellent
2026-02-03 20:38:53.125,0.47,Excellent
2026-02-03 20:38:58.198,0.47,Excellent
2026-02-03 20:39:19.200,0.48,Excellent
2026-02-03 20:39:21.160,0.48,Excellent
2026-02-03 20:39:21.984,0.49,Excellent
2026-02-03 20:39:22.857,0.49,Excellent
2026-02-03 20:39:23.345,0.49,Excellent
2026-02-03 20:39:23.681,0.49,Excellent
2026-02-03 20:39:28.694,0.49,Excellent
2026-02-03 20:39:33.686,0.49,Excellent
2026-02-03 20:39:38.696,0.75,Excellent
2026-02-03 20:39:52.093,0.75,Excellent
2026-02-03 20:39:57.111,0.75,Excellent
2026-02-03 20:40:02.086,0.75,Excellent
2026-02-03 20:40:07.070,0.76,Excellent
2026-02-03 20:40:12.406,0.76,Excellent
2026-02-03 20:40:17.069,0.76,Excellent
2026-02-03 20:40:22.079,1.16,Excellent
2026-02-03 20:40:27.085,1.16,Excellent
2026-02-03 20:40:32.092,1.16,Excellent
2026-02-03 20:40:37.101,1.14,Excellent
2026-02-03 20:40:43.084,1.14,Excellent
2026-02-03 20:40:48.071,1.14,Excellent
2026-02-03 20:40:53.069,1.13,Excellent
2026-02-03 20:40:58.077,1.13,Excellent
2026-02-03 20:41:03.470,1.13,Excellent
2026-02-03 20:41:08.085,1.14,Excellent
2026-02-03 20:41:13.052,1.14,Excellent
2026-02-03 20:41:18.057,1.14,Excellent
2026-02-03 20:41:23.074,1.15,Excellent
2026-02-03 20:41:28.093,1.15,Excellent
2026-02-03 20:41:33.100,1.15,Excellent
2026-02-03 20:41:38.071,1.15,Excellent
2026-02-03 20:41:43.081,1.15,Excellent
2026-02-03 20:41:48.075,1.15,Excellent
2026-02-03 20:41:53.077,1.12,Excellent
2026-02-03 20:42:00.085,1.12,Excellent
2026-02-03 20:43:00.390,1.12,Excellent
2026-02-03 20:44:00.067,1.14,Excellent
2026-02-03 20:45:00.383,0.88,Excellent
2026-02-03 20:46:00.076,0.48,Excellent
2026-02-03 20:47:00.386,0.53,Excellent
2026-02-03 20:47:08.101,0.55,Excellent
2026-02-03 20:47:12.934,0.55,Excellent
2026-02-03 20:47:17.960,0.55,Excellent
2026-02-03 20:47:22.965,0.54,Excellent
2026-02-03 20:47:27.946,0.54,Excellent
2026-02-03 20:47:32.933,0.54,Excellent
2026-02-03 20:47:37.946,0.54,Excellent
2026-02-03 20:47:42.957,0.54,Excellent
2026-02-03 20:47:47.955,0.54,Excellent
2026-02-03 20:47:57.871,0.98,Excellent
2026-02-03 20:48:02.891,0.98,Excellent
2026-02-03 20:48:07.876,1.0,Excellent
2026-02-03 20:48:13.090,1.0,Excellent
2026-02-03 20:48:18.071,1.0,Excellent
2026-02-03 20:48:23.081,0.98,Excellent
2026-02-03 20:48:28.085,0.98,Excellent
2026-02-03 20:48:33.082,0.98,Excellent
2026-02-03 20:48:38.084,0.97,Excellent
2026-02-03 20:48:43.090,0.97,Excellent
2026-02-03 20:48:48.091,0.97,Excellent
2026-02-03 20:48:53.084,0.95,Excellent
2026-02-03 20:48:58.078,0.95,Excellent
2026-02-03 20:49:03.091,0.95,Excellent
2026-02-03 20:49:08.050,0.94,Excellent
2026-02-03 20:50:00.437,0.93,Excellent
2026-02-03 20:51:00.056,0.94,Excellent
2026-02-03 20:51:41.580,0.91,Excellent
2026-02-03 20:51:45.193,0.91,Excellent
2026-02-03 20:51:50.177,0.91,Excellent
2026-02-03 20:51:55.189,0.92,Excellent
2026-02-03 20:52:00.195,0.92,Excellent
2026-02-03 20:52:04.619,0.92,Excellent
2026-02-03 20:52:06.716,0.88,Excellent
2026-02-03 20:52:11.115,0.88,Excellent
2026-02-03 20:52:12.544,0.88,Excellent
2026-02-03 20:52:17.540,0.88,Excellent
2026-02-03 20:52:23.394,0.89,Excellent
2026-02-03 20:52:28.059,0.89,Excellent
2026-02-03 20:52:33.064,0.89,Excellent
2026-02-03 20:52:36.122,0.89,Excellent
2026-02-03 20:52:41.143,1.2,Excellent
2026-02-03 20:52:41.778,1.2,Excellent
2026-02-03 20:52:43.830,1.2,Excellent
2026-02-03 20:52:49.412,1.2,Excellent
2026-02-03 20:52:49.784,1.2,Excellent
2026-02-03 20:52:54.802,0.78,Excellent
2026-02-03 20:53:00.399,0.78,Excellent
2026-02-03 20:53:05.071,0.78,Excellent
2026-02-03 20:53:15.718,0.79,Excellent
2026-02-03 20:53:20.747,0.79,Excellent
2026-02-03 20:53:25.753,0.88,Excellent
2026-02-03 20:53:30.727,0.88,Excellent
2026-02-03 20:53:36.383,0.88,Excellent
2026-02-03 20:53:41.078,0.99,Excellent
2026-02-03 20:53:46.085,0.99,Excellent
2026-02-03 20:53:51.070,0.99,Excellent
2026-02-03 20:53:56.058,0.99,Excellent
2026-02-03 20:54:01.088,0.99,Excellent
2026-02-03 20:54:06.088,0.99,Excellent
2026-02-03 20:54:11.065,1.1,Excellent
2026-02-03 20:54:15.727,1.1,Excellent
2026-02-03 20:54:21.082,1.1,Excellent
2026-02-03 20:54:25.705,1.11,Excellent
2026-02-03 20:54:30.709,1.11,Excellent
2026-02-03 20:54:36.424,1.11,Excellent
2026-02-03 20:54:41.084,1.12,Excellent
2026-02-03 20:54:46.096,1.12,Excellent
2026-02-03 20:54:51.068,1.12,Excellent
2026-02-03 20:54:56.062,1.13,Excellent
2026-02-03 20:55:01.082,1.13,Excellent
2026-02-03 20:55:06.053,1.13,Excellent
2026-02-03 20:55:11.086,1.14,Excellent
